,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
0,112435993,,2300.0,2300.0,2300.0, 36 months, 12.62%,77.08,C,C1,,,OWN,10000.0,Not Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112435993,,credit_card,Credit card refinancing,148xx,NY,21.61,0.0,Sep-1985,700.0,704.0,1.0,,,4.0,0.0,3911.0,55.1%,6.0,w,2029.91,2029.91,382.99,382.99,270.09,112.9,0.0,0.0,0.0,Dec-2017,77.08,Jan-2018,Dec-2017,704.0,700.0,0.0,,1.0,Individual,,,,0.0,0.0,3911.0,0.0,0.0,0.0,0.0,,0.0,,1.0,2.0,2315.0,55.0,7100.0,1.0,0.0,2.0,2.0,978.0,440.0,87.1,0.0,0.0,,381.0,8.0,8.0,0.0,15.0,,0.0,,0.0,2.0,3.0,2.0,2.0,0.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,7100.0,3911.0,3400.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
1,112290210,,16000.0,16000.0,16000.0, 60 months, 12.62%,360.95,C,C1,teacher,10+ years,MORTGAGE,94000.0,Not Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112290210,,debt_consolidation,Debt consolidation,021xx,MA,25.61,0.0,Jun-1992,715.0,719.0,0.0,,,9.0,0.0,33752.0,105.8%,26.0,w,14813.07,14813.07,2060.09,2060.09,1186.93,873.16,0.0,0.0,0.0,Dec-2017,360.95,Jan-2018,Dec-2017,709.0,705.0,0.0,,1.0,Individual,,,,0.0,0.0,234457.0,2.0,1.0,0.0,0.0,26.0,11078.0,69.0,3.0,5.0,1962.0,94.0,31900.0,0.0,6.0,1.0,5.0,26051.0,94.0,96.1,0.0,0.0,26.0,300.0,2.0,2.0,7.0,2.0,,8.0,,0.0,2.0,7.0,2.0,8.0,1.0,7.0,18.0,7.0,9.0,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0,319900.0,44830.0,2400.0,16000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
2,112436985,,6025.0,6025.0,6025.0, 36 months, 15.05%,209.01,C,C4,Front Office,7 years,MORTGAGE,46350.0,Not Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112436985,,home_improvement,Home improvement,018xx,MA,8.88,0.0,Jun-2002,700.0,704.0,0.0,,,11.0,0.0,12425.0,44.9%,27.0,w,5340.82,5340.82,1032.46,1032.46,684.18,348.28,0.0,0.0,0.0,Dec-2017,209.01,Jan-2018,Dec-2017,664.0,660.0,0.0,,1.0,Individual,,,,0.0,0.0,121311.0,1.0,0.0,1.0,2.0,10.0,0.0,,1.0,2.0,1950.0,45.0,27700.0,1.0,5.0,3.0,6.0,11028.0,11017.0,37.4,0.0,0.0,86.0,180.0,8.0,2.0,2.0,8.0,,8.0,,0.0,6.0,9.0,6.0,16.0,4.0,9.0,21.0,9.0,11.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,137700.0,12425.0,17600.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
3,112439006,,20400.0,20400.0,20400.0, 36 months,  9.44%,652.91,B,B1,Manager,10+ years,RENT,44000.0,Source Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112439006,,car,Car financing,913xx,CA,27.06,0.0,Jan-2007,760.0,764.0,1.0,,,15.0,0.0,8769.0,18.7%,19.0,w,17898.81,17898.81,3237.8,3237.8,2501.19,736.61,0.0,0.0,0.0,Dec-2017,652.91,Jan-2018,Dec-2017,744.0,740.0,0.0,,1.0,Individual,,,,0.0,0.0,62335.0,1.0,10.0,1.0,1.0,6.0,53566.0,95.0,1.0,2.0,4240.0,60.0,46900.0,1.0,1.0,1.0,3.0,4156.0,35631.0,19.8,0.0,0.0,125.0,125.0,11.0,6.0,0.0,11.0,,6.0,,0.0,3.0,3.0,3.0,5.0,12.0,5.0,7.0,3.0,15.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,103358.0,62335.0,44400.0,56458.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
4,112438929,,13000.0,13000.0,13000.0, 36 months, 11.99%,431.73,B,B5,Paramedic,10+ years,MORTGAGE,85000.0,Source Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112438929,,debt_consolidation,Debt consolidation,560xx,MN,6.79,1.0,Feb-2002,660.0,664.0,0.0,16.0,,5.0,0.0,6866.0,88%,24.0,w,11460.66,11460.66,2137.0,2137.0,1539.34,597.66,0.0,0.0,0.0,Dec-2017,431.73,Jan-2018,Dec-2017,669.0,665.0,0.0,16.0,1.0,Individual,,,,0.0,0.0,15332.0,0.0,1.0,0.0,0.0,127.0,8466.0,72.0,0.0,1.0,2996.0,78.0,7800.0,0.0,0.0,0.0,1.0,3066.0,934.0,88.0,0.0,0.0,160.0,184.0,15.0,15.0,1.0,15.0,26.0,,16.0,9.0,4.0,4.0,4.0,9.0,9.0,4.0,14.0,4.0,5.0,0.0,0.0,1.0,0.0,41.7,100.0,0.0,0.0,19602.0,15332.0,7800.0,11802.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
5,112230200,,12000.0,12000.0,12000.0, 36 months,  9.44%,384.06,B,B1,Teacher,10+ years,MORTGAGE,70000.0,Not Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112230200,,debt_consolidation,Debt consolidation,184xx,PA,18.34,0.0,Aug-1997,670.0,674.0,0.0,35.0,83.0,14.0,1.0,15025.0,58.2%,30.0,w,10528.73,10528.73,1904.57,1904.57,1471.27,433.3,0.0,0.0,0.0,Dec-2017,384.06,Jan-2018,Dec-2017,689.0,685.0,0.0,,1.0,Individual,,,,0.0,0.0,211227.0,0.0,1.0,0.0,0.0,41.0,12438.0,40.0,2.0,3.0,5227.0,49.0,25800.0,0.0,0.0,2.0,4.0,15088.0,0.0,102.3,0.0,0.0,160.0,238.0,10.0,10.0,6.0,29.0,,11.0,,0.0,2.0,8.0,2.0,6.0,7.0,11.0,17.0,8.0,14.0,0.0,0.0,0.0,2.0,96.7,100.0,1.0,0.0,267482.0,27463.0,9200.0,30780.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
6,112210041,,6000.0,6000.0,6000.0, 36 months, 10.42%,194.79,B,B3,Office Clerk,7 years,MORTGAGE,37107.19,Source Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112210041,,medical,Medical expenses,773xx,TX,30.63,0.0,Mar-1992,680.0,684.0,0.0,70.0,71.0,10.0,1.0,9332.0,59.1%,28.0,w,5274.05,5274.05,965.27,965.27,725.95,239.32,0.0,0.0,0.0,Dec-2017,194.79,Jan-2018,Dec-2017,689.0,685.0,0.0,,1.0,Individual,,,,0.0,275.0,107517.0,0.0,1.0,0.0,1.0,19.0,19983.0,,1.0,1.0,3990.0,59.0,15800.0,0.0,0.0,0.0,2.0,11946.0,1845.0,82.4,0.0,0.0,86.0,303.0,9.0,9.0,4.0,39.0,,,,0.0,3.0,4.0,3.0,8.0,6.0,8.0,18.0,4.0,9.0,0.0,0.0,0.0,1.0,95.0,66.7,1.0,0.0,150967.0,29315.0,10500.0,39869.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
7,112360031,,12000.0,12000.0,12000.0, 60 months, 15.05%,285.8,C,C4,PROGRAM DIRECTOR,6 years,RENT,69800.0,Not Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112360031,,debt_consolidation,Debt consolidation,953xx,CA,31.43,0.0,Feb-2006,690.0,694.0,1.0,,,10.0,0.0,15227.0,79.7%,12.0,w,11162.31,11162.31,1624.51,1624.51,837.69,786.82,0.0,0.0,0.0,Dec-2017,285.8,Jan-2018,Dec-2017,734.0,730.0,0.0,,1.0,Individual,,,,0.0,0.0,51126.0,1.0,3.0,0.0,1.0,16.0,35899.0,54.0,1.0,2.0,4107.0,60.0,19100.0,1.0,0.0,4.0,3.0,5113.0,464.0,95.7,0.0,0.0,74.0,136.0,6.0,6.0,0.0,19.0,,5.0,,0.0,4.0,7.0,4.0,4.0,5.0,7.0,7.0,7.0,10.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,85769.0,51126.0,10700.0,66669.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
8,112038251,,11575.0,11575.0,11575.0, 36 months,  7.35%,359.26,A,A4,Solutions Architect ,6 years,OWN,153000.0,Not Verified,Jun-2017,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112038251,,credit_card,Credit card refinancing,923xx,CA,16.99,0.0,Jul-1994,720.0,724.0,0.0,24.0,84.0,20.0,1.0,8550.0,22.7%,46.0,w,0.0,0.0,11707.816235916202,11707.82,11575.0,132.82,0.0,0.0,0.0,Sep-2017,11360.38,,Sep-2017,724.0,720.0,0.0,24.0,1.0,Individual,,,,0.0,0.0,442731.0,1.0,1.0,0.0,0.0,27.0,92315.0,63.0,2.0,8.0,1581.0,36.0,37600.0,1.0,6.0,2.0,8.0,23302.0,24269.0,13.6,0.0,0.0,130.0,275.0,3.0,3.0,2.0,3.0,,7.0,,0.0,6.0,9.0,9.0,16.0,12.0,16.0,32.0,9.0,20.0,0.0,0.0,0.0,2.0,95.7,11.1,1.0,0.0,528172.0,100865.0,28100.0,120572.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
9,112134207,,20400.0,20400.0,20400.0, 60 months,  7.97%,413.35,A,A5,asst plant manager,10+ years,MORTGAGE,110000.0,Not Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=112134207,,major_purchase,Major purchase,286xx,NC,11.07,0.0,May-1987,780.0,784.0,1.0,40.0,,8.0,0.0,5294.0,8.1%,21.0,w,18992.12,18992.12,2044.17,2044.17,1407.88,636.29,0.0,0.0,0.0,Dec-2017,413.35,Jan-2018,Dec-2017,789.0,785.0,0.0,,1.0,Individual,,,,0.0,0.0,101473.0,0.0,1.0,0.0,1.0,18.0,44985.0,,0.0,1.0,5133.0,8.0,65500.0,0.0,2.0,1.0,2.0,12684.0,43706.0,10.8,0.0,0.0,144.0,361.0,19.0,18.0,2.0,19.0,40.0,0.0,40.0,0.0,3.0,3.0,4.0,8.0,9.0,6.0,10.0,3.0,8.0,0.0,0.0,0.0,0.0,90.5,0.0,0.0,0.0,187364.0,50279.0,49000.0,56264.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
